timestamp,human_readable_date,humidity,soil,tempf,voltage
1556734447670,2019-05-01 14:14:07-04:00,-5.0,2648.0,-5.0,4.207878
1556734381575,2019-05-01 14:13:01-04:00,-5.0,2661.0,-5.0,4.215734
1556734315526,2019-05-01 14:11:55-04:00,-5.0,2660.0,-5.0,4.20451
1556734249708,2019-05-01 14:10:49-04:00,-5.0,2648.0,-5.0,4.206755
1556734183526,2019-05-01 14:09:43-04:00,-5.0,2645.0,-5.0,4.212367
1556734117541,2019-05-01 14:08:37-04:00,-5.0,2651.0,-5.0,4.212367
1556734051568,2019-05-01 14:07:31-04:00,-5.0,2648.0,-5.0,4.206755
1556733985671,2019-05-01 14:06:25-04:00,-5.0,2654.0,-5.0,4.219101
1556733919580,2019-05-01 14:05:19-04:00,-5.0,2643.0,-5.0,4.21349
1556733853561,2019-05-01 14:04:13-04:00,-5.0,2659.0,-5.0,4.210123
1556733787621,2019-05-01 14:03:07-04:00,-5.0,2653.0,-5.0,4.224714
1556733721721,2019-05-01 14:02:01-04:00,-5.0,2659.0,-5.0,4.209
1556733655671,2019-05-01 14:00:55-04:00,-5.0,2652.0,-5.0,4.210123
1556733589717,2019-05-01 13:59:49-04:00,-5.0,2644.0,-5.0,4.212367
1556733523554,2019-05-01 13:58:43-04:00,-5.0,2660.0,-5.0,4.205633
1556733457514,2019-05-01 13:57:37-04:00,-5.0,2650.0,-5.0,4.202266
1556733391635,2019-05-01 13:56:31-04:00,-5.0,2650.0,-5.0,4.215734
1556733325541,2019-05-01 13:55:25-04:00,-5.0,2644.0,-5.0,4.20451
1556733259593,2019-05-01 13:54:19-04:00,-5.0,2657.0,-5.0,4.212367
1556733193462,2019-05-01 13:53:13-04:00,-5.0,2657.0,-5.0,4.209
1556733127550,2019-05-01 13:52:07-04:00,-5.0,2652.0,-5.0,4.221346
1556733061835,2019-05-01 13:51:01-04:00,-5.0,2653.0,-5.0,4.206755
1556732995578,2019-05-01 13:49:55-04:00,-5.0,2656.0,-5.0,4.221346
1556732929630,2019-05-01 13:48:49-04:00,-5.0,2657.0,-5.0,4.222469
1556732863522,2019-05-01 13:47:43-04:00,-5.0,2658.0,-5.0,4.217979
1556732797525,2019-05-01 13:46:37-04:00,-5.0,2649.0,-5.0,4.215734
1556732731559,2019-05-01 13:45:31-04:00,-5.0,2651.0,-5.0,4.211245
1556732665450,2019-05-01 13:44:25-04:00,-5.0,2654.0,-5.0,4.210123
1556732599633,2019-05-01 13:43:19-04:00,-5.0,2653.0,-5.0,4.207878
1556732533480,2019-05-01 13:42:13-04:00,-5.0,2643.0,-5.0,4.203388
1556732467474,2019-05-01 13:41:07-04:00,-5.0,2653.0,-5.0,4.209
1556732401487,2019-05-01 13:40:01-04:00,-5.0,2644.0,-5.0,4.225836
1556732335534,2019-05-01 13:38:55-04:00,-5.0,2656.0,-5.0,4.211245
1556732269646,2019-05-01 13:37:49-04:00,-5.0,2630.0,-5.0,4.216857
1556732203398,2019-05-01 13:36:43-04:00,-5.0,2657.0,-5.0,4.220224
1556732137482,2019-05-01 13:35:37-04:00,-5.0,2644.0,-5.0,4.207878
1556732071554,2019-05-01 13:34:31-04:00,-5.0,2647.0,-5.0,4.217979
1556732005491,2019-05-01 13:33:25-04:00,-5.0,2651.0,-5.0,4.209
1556731939613,2019-05-01 13:32:19-04:00,-5.0,2654.0,-5.0,4.209
1556731873325,2019-05-01 13:31:13-04:00,-5.0,2644.0,-5.0,4.201143
