observation,soil
774,2551
775,2554
776,2564
777,2550
778,2561
779,2556
780,2548
781,2552
782,2563
783,2548
784,2558
785,2565
786,2544
787,2549
788,2541
789,2546
790,2541
791,2549
792,2546
793,2552
794,2544
795,2544
796,2543
797,2541
798,2548
799,2550
800,2545
801,2541
802,2551
803,2540
804,2544
805,2541
806,2543
807,2543
808,2539
809,2552
810,2535
811,2547
812,2543
813,2543
814,2543
815,2542
816,2544
817,2549
818,2544
819,2544
820,2554
821,2541
822,2532
823,2544
824,2542
825,2551
826,2536
827,2548
828,2540
829,2531
830,2541
831,2543
832,2552
833,2551
834,2552
835,2540
836,2537
837,2531
838,2546
839,2540
840,2541
841,2547
842,2549
843,2534
844,2546
845,2529
846,2546
847,2539
848,2541
849,2546
850,2535
851,2533
852,2532
853,2550
854,2540
855,2545
856,2533
857,2545
858,2539
859,2533
860,2538
861,2544
862,2527
863,2532
864,2538
865,2532
866,2537
867,2531
868,2548
869,2545
870,2533
871,2522
872,2537
873,2534
874,2537
875,2534
876,2542
877,2537
878,2534
879,2529
880,2540
881,2540
882,2531
883,2544
884,2522
885,2524
886,2527
887,2532
888,2520
889,2534
890,2528
891,2534
892,2527
893,2530
894,2536
895,2525
896,2519
897,2519
898,2524
899,2527
900,2519
901,2520
902,2541
903,2528
904,2521
905,2519
906,2540
907,2534
908,2526
909,2525
910,2518
911,2520
912,2520
913,2523
914,2519
915,2527
916,2523
917,2520
918,2525
919,2522
920,2532
921,2521
922,2526
923,2510
924,2501
925,2527
926,2521
927,2517
928,2511
929,2519
930,2518
931,2525
932,2528
933,2527
934,2519
935,2516
936,2521
937,2526
938,2525
939,2530
940,2529
941,2516
942,2514
943,2507
944,2512
945,2518
946,2520
947,2520
948,2513
949,2512
950,2505
951,2514
952,2509
953,2524
954,2510
955,2505
956,2509
957,2510
958,2514
959,2510
960,2508
961,2512
962,2521
963,2519
964,2515
965,2514
966,2495
967,2508
968,2512
969,2518
970,2510
971,2516
972,2495
973,2515
974,2528
975,2514
976,2504
977,2519
978,2501
979,2499
980,2513
981,2517
982,2503
983,2518
984,2508
985,2512
986,2516
987,2509
988,2503
989,2508
990,2511
991,2512
992,2511
993,2515
994,2502
995,2512
996,2499
997,2507
998,2495
999,2512
1000,2491
1001,2504
1002,2511
1003,2502
1004,2496
1005,2504
1006,2501
1007,2492
1008,2495
1009,2508
1010,2496
1011,2502
1012,2500
1013,2504
1014,2503
1015,2502
1016,2489
1017,2497
1018,2495
1019,2491
1020,2501
1021,2497
1022,2486
1023,2493
1024,2489
1025,2490
1026,2496
1027,2496
1028,2497
1029,2497
1030,2495
1031,2491
1032,2500
1033,2481
1034,2488
1035,2496
1036,2496
1037,2495
1038,2489
1039,2496
1040,2487
1041,2492
1042,2500
1043,2485
1044,2492
1045,2481
1046,2488
1047,2492
1048,2488
1049,2484
1050,2488
1051,2475
1052,2488
1053,2495
1054,2483
1055,2487
1056,2488
1057,2494
1058,2479
1059,2483
1060,2486
1061,2488
1062,2478
1063,2496
1064,2473
1065,2490
1066,2492
1067,2478
1068,2478
1069,2491
1070,2486
1071,2484
1072,2488
1073,2480
1074,2482
1075,2477
1076,2483
1077,2492
1078,2487
1079,2466
1080,2479
1081,2470
1082,2478
1083,2480
1084,2470
1085,2476
1086,2488
1087,2484
1088,2488
1089,2487
1090,2472
1091,2463
1092,2461
1093,2481
1094,2469
1095,2469
1096,2481
1097,2478
1098,2485
1099,2469
1100,2484
1101,2482
1102,2478
1103,2476
1104,2480
1105,2477
1106,2470
1107,2474
1108,2465
1109,2480
1110,2464
1111,2467
1112,2477
1113,2482
1114,2466
1115,2470
1116,2460
1117,2474
1118,2476
1119,2471
1120,2465
1121,2463
1122,2479
1123,2462
1124,2470
1125,2472
1126,2461
1127,2457
1128,2470
1129,2479
1130,2468
1131,2457
1132,2460
1133,2460
1134,2473
1135,2476
1136,2458
1137,2463
1138,2467
1139,2471
1140,2469
1141,2466
1142,2472
1143,2468
1144,2455
1145,2477
1146,2466
1147,2453
1148,2461
1149,2464
1150,2455
1151,2464
1152,2478
1153,2455
1154,2473
1155,2463
1156,2457
1157,2461
1158,2466
1159,2456
1160,2463
1161,2458
1162,2459
1163,2459
1164,2465
1165,2461
1166,2460
1167,2461
1168,2463
1169,2463
1170,2459
1171,2462
1172,2464
1173,2454
1174,2454
1175,2462
1176,2463
1177,2457
1178,2463
1179,2469
1180,2460
1181,2462
1182,2452
1183,2455
1184,2466
1185,2458
1186,2448
1187,2462
1188,2458
1189,2453
1190,2445
1191,2451
1192,2456
1193,2454
1194,2460
1195,2459
1196,2462
1197,2465
1198,2449
1199,2463
1200,2464
1201,2452
1202,2455
1203,2458
1204,2450
1205,2459
1206,2441
1207,2455
1208,2454
1209,2442
1210,2456
1211,2448
1212,2447
1213,2450
1214,2444
1215,2451
1216,2447
1217,2452
1218,2452
1219,2441
1220,2444
1221,2449
1222,2453
1223,2461
1224,2464
1225,2444
1226,2456
1227,2444
1228,2445
1229,2450
1230,2458
1231,2454
1232,2449
1233,2445
1234,2447
1235,2445
1236,2452
1237,2448
1238,2455
1239,2446
1240,2438
1241,2439
